movie_id,movie_name,description,true_genre,predicted_genre,prob_action,prob_horror,prob_romance
tt14888860,Demon Slayer: Kimetsu no Yaiba - Sibling's Bond,tanjiro finds his family slaughtered and the lone survivor his sister nezuko kamado turned into a demon to his surprise however nezuko still shows signs of human emotion and thought,action,horror,0.18245335,0.73705816,0.0804885
tt13851848,Zombie Rome,spartacus who is about to die in the coliseum prays to his gods to curse julius caesar and the roman empire and unleashes the world's first zombies caesar and his roman army must fight to stop the spread of the zombies and save rome,horror,action,0.5891082,0.3951377,0.015754068
tt16578440,4 Kings,inspired by the real story of the conflict between the student from four different technician colleges in the 90s where violence can be used to build friendships and enemies at the same time,action,romance,0.28172868,0.069593094,0.64867824
tt1930423,Number One Shakib Khan,the film focuses on a young man who struggles to stand on his own feet thrilled by his ideology and honesty the heroine apu biswas makes up her mind to stand beside him with her love to,action,romance,0.031974085,0.037144165,0.9308818
tt10801000,Kumbarees,sagar reveals that it revolves around six to seven charactersashwin plays a mechanic named shambu and tito his friend john there is a love track involving shambu and a girl named jincy,action,romance,0.12011082,0.05304871,0.8268405
tt4938982,The Synchronicity,are visions rooted in reality?,romance,horror,0.17031567,0.70732534,0.12235909
tt6636660,In Arcadia,two engineers arrive in an isolated mountain village to install a cellular radio tower and soon become the target of the villager's collective hatred instigated by a powerful and shadowy local man,horror,action,0.7608238,0.20073771,0.03843847
tt3851980,Shadows in Patagonia,during the last days of the second world war a last generation german submarine emerges in a moonless night in the isolated patagonian cost a mysterious group of passengers disembark but,action,horror,0.31661707,0.61855465,0.06482829
tt3752766,Mermaid's Song,a young girl with a special gift comes of age during one of the most desolate periods in american history in this dark dust bowl fantasy inspired by hans christian andersen's the little mermaid,horror,romance,0.24383533,0.17588358,0.5802811
tt1123372,Cicak-Man,hairi works at klon technologies searching new vaccines for new diseases he's too shy to approach tania the girl he loves (professor klon's secretary) and awkward enough to swallow a ,action,romance,0.043332998,0.03406445,0.9226026
tt2076205,Fourplay,a feature anthology of short tales of sexual intimacy set in four american cities,romance,horror,0.06655419,0.8894091,0.04403665
tt5612402,Hudugaru,the story revolves around three friends who are desperately looking out for suitable job opportunities their lives get devastated when they try to unite two lovers,action,romance,0.047122467,0.014905544,0.937972
tt12421878,Student for Pay,there's an outsider in every school and rose is one of those people everyone laughs at her but no one knows that she secretly works as a camgirl rose slowly gets lost in the powerful world of sex money and betrayal,romance,action,0.62419295,0.04378612,0.33202103
tt0281408,Çile,story of a bus driver who had to deal with unexpected pitiful events caused mainly by his rebellious little brother,romance,action,0.47416964,0.088054106,0.43777633
tt3886114,My Brother's Rage,a father waits in the emergency room; a clock ticks in the background; the sounds of the television are left unheard; sweat courses down pedro ramos face as he anticipates the birth of his,action,romance,0.28894556,0.17510599,0.53594846
tt2375737,Maniac Cop,is there a monster on the loose on the streets of los angeles or is it just a killer cop out to punish the city that destroyed him?,horror,action,0.5073508,0.4675723,0.02507684
tt0112518,Black Rose of Harlem,a tragic love story set against the turbulent backdrop of the 1920's chicago jazz clubs georgia a beautiful black singer catches the eye of mobster johnny varona but johnny is betrothed,action,romance,0.26948693,0.07321568,0.6572974
tt0129114,Gaston's War,a true story about a flemish resistance warrior,romance,action,0.7793333,0.028776657,0.19189002
tt1454613,What's New About Love?,six friends meet every evening in a basement to make music during the daytime there are no rehearsals for what life brings us each endeavour leaves its mark six short films by six different directors dealing with the troubles of youth,romance,horror,0.18752113,0.4510273,0.36145166
tt13216988,The Fifth Taste,when anna a boutique food publisher recognises that her niece nina has an eating disorder it's her estranged lover alejandro who seems to be the only person who can reach nina and help her through this personal struggle,romance,horror,0.14655522,0.7153104,0.13813445
tt8444480,Pagan Warrior,after a savage gang of vikings invade a saxon castle murdering all in sight one surviving man calls upon krampus the yule devil to come to exact revenge for his family,horror,action,0.57959044,0.39646667,0.023942882
tt0465485,Hallowed,after witnessing his father murder his mom 10 year-old gabriel becomes insane now 20 years later gabriel begins a twisted mission of finding vulnerable victims to kill while believing it's all in the name of god,horror,action,0.66305697,0.29094326,0.04599982
tt1702009,Strippers vs Werewolves,when werewolf mickey is accidentally killed in a strip club the girls who work there have until the next full moon before his bloodthirsty wolf pack seek murderous retribution,action,horror,0.1768193,0.8160096,0.0071711177
tt0825225,American Pastime,the dramatic impact wwii had in the home-front as us japanese families were uprooted from their daily lives and placed in internment camps in western states in the early 1940s,romance,action,0.81352425,0.025283812,0.16119193
tt0094025,Stakeout,two detectives observe an escaped convict's ex-girlfriend but complications set in when one of them falls for her,action,romance,0.083381206,0.03447297,0.88214576
tt8561200,Aftermath,in post-apocalyptic mayhem a group of survivors flee to the woods only to be viciously attacked by a brotherhood of sociopathic strangers,action,horror,0.062845945,0.92554486,0.011609269
tt15380256,Misty: Illusive,misty is on a quest to find the one person who messed with her home kind and she is offered a job she couldn't refuse but when things get so wrong she now has to face the dark reality of human society,action,horror,0.16490075,0.7757383,0.05936098
tt0048728,To Catch a Thief,a retired jewel thief sets out to prove his innocence after being suspected of returning to his former occupation,romance,action,0.87404877,0.021182433,0.10476878
tt1830549,Crack Whore,the story of a crack addicted prostitute named honey a girl who goes to a party out in the desert where she falls victim to drugs and gang rape spoon feeding herself crack honey decides to settle the score,horror,action,0.91473234,0.044343527,0.04092409
tt1336619,The Adventures of Chris Fable,young runaway christ lives with a group of misfits in a junkyard stealing to survive when a traveling preacher tells him that his father is alive and wants him to come home chris must,action,horror,0.3393166,0.49910152,0.16158183
tt9624562,Mammaluna,little sofia who lives in a public apartment in rome has lost her father and decides to save her mother anna from her depression by taking her to the moon with the help of tommaso who,action,romance,0.119533576,0.116188854,0.76427764
tt2393512,Jalan Kembali: Bohsia 2,also known as bohsia 2: jalan kembali the movie is a sequel to bohsia: jangan pilih jalan hitam in 2009 syamsul yusof returns to direct the story of a bohsia's life played by nabila,action,romance,0.26436943,0.09317946,0.64245117
tt0328671,Yeh Hai Jalwa,raj saxena (salman khan) goes to london expecting his long-lost dad (rishi kapoor) to warmly greet him but things do not go as planned,romance,action,0.6918995,0.13640815,0.17169234
tt0135746,Achtung! Feind hört mit!,this is the war and everybody in germany should beware : the enemy is listening one family in particular had better be even more careful than the average citizen of the reich : the,romance,horror,0.1985501,0.7172384,0.08421148
tt11417930,Merry Men 2,things have changed for the charming foursome the merry men they've hung the boots on robbing the rich to give to the poor and focus squarely on running their businesses ayo alesinloye,action,romance,0.37912986,0.09359631,0.52727383
tt0806027,Blood: The Last Vampire,a vampire named saya who is part of covert government agency that hunts and destroys demons in a post-wwii japan is inserted in a military school to discover which one of her classmates is a demon in disguise,action,horror,0.1599023,0.79576284,0.04433488
tt0104511,Innocent Blood,marie is a vampire with a thirst for bad guys when she fails to properly dispose of one of her victims a violent mob boss she bites off more than she can chew and faces a new immortal danger,action,horror,0.23808609,0.7474563,0.0144575555
tt4018684,Heartbeat,haunted by her troubled past emma works as a hospital nurse while wrestling with murderous compulsions but a romance with a young terminally ill patient offers her a final chance at redemption,romance,horror,0.15179937,0.6676853,0.18051535
tt1528280,Caos,puerto rico is losing confidence in its political parties that for years took over loyal fanatics the people elected with its eyes closed their first independent governor only to have his,action,romance,0.1847656,0.10885354,0.7063808
tt0110942,Raja Babu,a man tries to become a better son after his intended bride rejects him and he learns he was adopted from a poor family,action,romance,0.13484682,0.08433832,0.78081477
tt0291741,Ayyam el-hob,the story revolves around a film director looking for a new film face to star in his film after the main actress abandoned the film but fails in this goes to alexandria to meet a saleswoman and decides to teach her,romance,horror,0.14563353,0.44549224,0.40887418
tt0112860,Devotion,an openly gay star on the standup comedy circuit gets a shot at her own tv sitcom but the offer has serious strings attatched a ghost from her past threatens not only her professional,romance,horror,0.13577962,0.678409,0.18581137
tt2412338,The Spies,kim myeong-min (39) is agent kim a family man who lives contentedly with his wife and two children he is disguised as a manager in a company that sells fake viagra imported from china,action,romance,0.10421929,0.021502763,0.87427795
tt0049083,The Cockleshell Heroes,during world war ii german ships are safely docked upriver at bordeaux but the british send a team of kayakers to attack them,action,romance,0.3029523,0.11900513,0.57804257
tt11057690,The Loop,feature film based on the short film written and directed by rich ragsdale,horror,romance,0.29946017,0.21871632,0.48182356
tt3709718,Transit 17,the year is 2026 - europe has been devastated by a virus that has turned a huge portion of the population into zombies but there are some who are holding on to some hope that they can live a normal life again - they are the resistance,action,horror,0.18530989,0.7259356,0.08875457
tt6351924,Ashface,a serial killer with a split personality gets involved with a mysterious masked organization that lurks in the shadows of the underground world in order to survive he must fight and maybe learn the hidden truth about himself,action,horror,0.29226243,0.6724544,0.03528313
tt0054673,The Beast of Yucca Flats,a defecting soviet scientist is hit by a nuclear explosion near yucca flats and roams around as a beast,horror,action,0.7747711,0.16109678,0.06413212
tt0338042,Four Deadly Reasons,sometimes when you turn over a new leaf all you find is dirt this is a story that captures the inner struggle of a man determined to change his life and regain his freedom gambling debts,action,romance,0.41509447,0.030437043,0.55446845
tt0028024,Neighborhood House,charley his wife rosina and their daughter darla attend bank night at their local movie theater more eager to win the cash prize than see the picture when little darla is selected to,romance,horror,0.21039498,0.5220801,0.26752493
tt0251200,Bad Girl Mako,patronized by a gang ruling the city mako delinquently plays around a night club every night with her bad company one night a guy hideo gets closer to her for one-night stand and they,action,romance,0.1623518,0.34571168,0.49193653
tt2610974,Mistress City,a woman scorned kidnapped at a young age to work in a brothel sold by her parents to pay their debts freed by a twist of fate to take vengeance on anyone in her way,romance,horror,0.17907748,0.6030764,0.21784617
tt2709726,Midway - Tra la vita e la morte,sara and alex lost the son they were expecting due to miscarriage and since that day their life changed just when she least expected it sara gets pregnant but decides to wait the third month before telling alex,horror,romance,0.06192895,0.024560176,0.9135109
tt0038058,Scotland Yard Investigator,at the outbreak of world war ii the famous 'mona lisa' is removed from the lourve museum in paris and stored for safekeeping in london sir james collison director of national art museum,action,romance,0.07610685,0.07928069,0.8446124
tt6490862,Naval Rage,when terrorist strike the united states a navy ship is first to respond against the aggressors the ship is ambushed and attacked with a unknown gas that causes the exposed crew to go violently insane,horror,action,0.7147562,0.26499304,0.020250838
tt0053634,The Barbarians,revak is an iberian prince from penda a small island where the carthagian fleet ransacked and enslaved the surviving native men including him after an eventful passage aboard a galley,action,romance,0.22809094,0.06783805,0.70407104
tt5442430,Life,a team of scientists aboard the international space station discover a rapidly evolving life form that caused extinction on mars and now threatens all life on earth,horror,action,0.8805835,0.059331413,0.06008513
tt3715646,Teri Mohabbat Ke Naam,paul a foreigner becomes obsessed towards a beautiful fashion designer his obsession turns violent,romance,horror,0.21094619,0.5918614,0.19719236
tt0499139,Iputok mo... Dadapa ako! (Hard to Die),bruce deelees (vic sotto) is a simple hillbilly; maryo (francis magalona) is his cousin studying in manila after their grandfather's death they decide to stay in manila where bruce meets,action,romance,0.46464345,0.046672583,0.48868394
tt1159634,Chaostage,germany on a normal weekend in the summer punks skins and autonomy - as their paths cross it comes to disaster - to the chaos days the film tells a story about how it could happen,action,horror,0.19399379,0.5461489,0.2598573
tt11813822,It Cuts Deep,while on christmas vacation a young couple contemplates their future together ashley is interested in getting married and having kids which terrifies sam when the more attractive and,horror,romance,0.059938543,0.07563911,0.8644224
tt11920236,Unakkagathane,rishi and shan friends from childhood are both working as property consultants shan lets rishi handle the big land sales because he trusts him and this way shan can also spend more time,action,romance,0.15435469,0.04658479,0.7990605
tt1410051,Retreat,kate and martin escape from personal tragedy to an island retreat cut off from the outside world their attempts to recover are shattered when a man is washed ashore with news of airborne killer disease that is sweeping through europe,horror,action,0.36596397,0.33170402,0.30233198
tt2106361,Into the Storm,storm trackers thrill-seekers and everyday townspeople document an unprecedented onslaught of tornadoes touching down in the town of silverton,action,horror,0.17739291,0.75538176,0.06722539
tt2545652,Haima,a woman awakes after a savage attack orchestrated by her former lover to discover that she has severe amnesia she must elude the assailants before they can finish her off,action,romance,0.122264855,0.15651348,0.7212216
tt0433020,Le plus beau jour de ma vie,not too excited arthur asks marriage lola what should have been a quiet ceremony evolves in something bigger expensive and overwhelming as family is involved the organization of the best day of their lives threatens to destroy them,romance,action,0.46567103,0.3977542,0.13657476
tt0398113,Hum Hain Khalnayak,widowed havaldar pandupatti would like to get his only child a daughter named madhuri happily married preferably to a police inspector but madhuri has eyes only for bollywood,action,romance,0.43341082,0.032180026,0.5344092
tt17346556,The Four Trees of Perdue Park,siblings josh and claire are transported to another world after being involved in a devastating car crash together they must dig deep and overcome personal obstacles as well as betrayal lies magic and love to make it home,action,romance,0.12848757,0.07806405,0.7934483
tt0258839,November Children,after their candidates win control of a farming community in an election fruit-pickers start getting harassed by the local law enforcement officials,action,romance,0.37362573,0.20948716,0.4168872
tt8922468,Flamenco Killer,lola a former fbi agent widow and single mum now teaches flamenco in her boutique academy in manhattan beach her skills in the field are going to get her an unexpected side job:,action,romance,0.0841132,0.0866483,0.8292385
tt0262865,Vagabunda,tired of working in seedy places a stripper turns to prostitution in the streets,romance,action,0.56926894,0.17143556,0.25929555
tt0104036,The Crying Game,a british soldier kidnapped by the ira soon befriends one of his captors who then becomes drawn into the soldier's world,romance,action,0.9320339,0.028415019,0.039551143
tt0115587,Att stjäla en tjuv,a rather unsuccessful petty thief in stockholm have problems with the opposite sex an old lady tricks him into a strange house by ensure that the neighbors are wealthy and out of town,romance,horror,0.15056475,0.45337117,0.39606404
tt8090564,Monsoon,kit a british man of vietnamese heritage returns to saigon for the first time in over 30 years after leaving the country with his parents when he was six years old at the end of the vietnam war,romance,action,0.6047892,0.07063768,0.32457307
tt0052644,Le Bossu,prince philippe de gonzague decides to get rid of his cousin duke de nevers having wished for long his properties and wealth,action,romance,0.0822608,0.0477341,0.87000513
tt9125432,The Island,the island is a film created primarily to showcase the best of nigerian culture and to give viewers an in-depth enjoyable cultural experience whilst celebrating the efforts of the nigerian,action,romance,0.21265242,0.12259116,0.6647564
tt0152015,Pola X,a young writer becomes intrigued with a mysterious dark-haired woman who claims to be his long-lost sister starting an unusual relationship with her and prompting a downward spiral involving his domineering mother and lovely fiancée,romance,horror,0.09976737,0.6884486,0.211784
tt6448970,Kantai Collection: KanColle Movie,animated film based of the video game series kantai collection,action,horror,0.42512062,0.49891862,0.075960815
tt0478267,Snakewoman,a publicist's agent seeking to secure the rights to a cult movie icon's life story travels to meet the actresses' surviving relatives upon making their acquaintance the agent discovers that they live a life of unbridled hedonism,horror,romance,0.19873725,0.109830834,0.6914318
tt1839507,Inner Circle,inner circle is a thriller drama about love fear and mortality when her biological mother commits suicide isobel suspects foul play that her mother was in fact murdered by one of the,romance,horror,0.26956743,0.4472653,0.28316733
tt6570818,Amy Generation C,after a decade of intense research based on changing the course of modern medicine a scientist spends a weekend away with his wife hoping to mend their relationship but instead find,horror,romance,0.034824193,0.058405995,0.9067698
tt5152686,Angrez,locked inside a hospital supply closet an odd couple encounters an unexpected presence,romance,horror,0.019839935,0.9739454,0.006214727
tt0025515,The Moonstone,typical monogram whodunit from the 30's with dialogue and sound effects based on the well known mystery book with same title a valuable gem from india is stolen in an old dark mansion and,romance,action,0.6447694,0.3433643,0.011866374
tt3754580,Rape Panic Mansion,namiko a bank employee is taken hostage by vicious bank robbers who do not hesitate to kill however their purpose was not to collect bills but to rape and play with women's bodies,horror,action,0.846279,0.09719651,0.056524478
tt1361809,Arundhati,a brave queen battles an evil mystic three generations later he comes back to haunt the queen's descendants,horror,action,0.66279316,0.31182402,0.02538279
tt0070935,Procession of Memories,three brothers are separated after their parents' murder years later their only hope of avenging their parents and reuniting as a family lies in the song they learned as children,action,romance,0.37854278,0.1428997,0.4785576
tt0110983,Revenge of the Red Baron,the red baron returns in a toy plane to kill the former world war i ace that shot him down,horror,action,0.94101113,0.030463079,0.028525742
tt6397124,Artificial Twins,every human has a soul what happens when it splits?,action,horror,0.15521789,0.7198902,0.12489198
tt5428680,Hoodoo Browne,a boy in a situation requiring a choice between equally undesirable alternatives sees an opportunity in a lonesome drifter who runs out of gas in his small town,action,romance,0.10932601,0.22343545,0.66723853
tt1487118,Chalet Girl,former skateboard champion kim wants to make more money after her mother's tragic death she joins the elite posh servicing company which sends her off to austria,romance,action,0.6249274,0.10945153,0.26562104
tt2147189,Altered,a young undercover cop fights to control a constantly changing reality while trying to maintain her own grip on sanity when she joins the hunt for a brutal serial killer,horror,action,0.65369844,0.33746645,0.008835084
tt2301113,Rawfotra,a family of orphans and outsiders come together in a loving home where trust compassion sacrifice and loyalty reign above all else but when an unspeakable act of violence threatens to,action,horror,0.29554957,0.6122194,0.092231065
tt0260857,Dezenove Mulheres e Um Homem,eighteen college students from são paulo and their professor decide to take an excursion to paraguay by renting a bus from a company whose director rubens decides to serve as a driver and,action,romance,0.27945578,0.07859376,0.6419504
tt7741314,One Last Kiss,nicholas peterson is madly in love with his fiance bryan lane but when bryan lane's drug addiction leads to several other crimes and fleeing from the law nicholas is faced with the struggle of whether to tell anyone or keep quiet,romance,horror,0.1517411,0.4985738,0.34968507
tt11815290,Out of Body,when mal's body is hijacked by an escaped demon his spirit must catch henry's attention and after a hilarious series of misadventures they battle the demon to get mal's body back and win their happily-ever-after,romance,horror,0.15951188,0.76760715,0.07288101
tt0011970,The Big Town Round-Up,alice beaumont daughter of a san francisco california capitalist captures the attention of rancher larry mcbride by pretending to have been bitten by a rattlesnake in the arizona,action,horror,0.110154375,0.7910086,0.098836996
tt16654056,Witch on the Holy Night,a witch lives by herself in an old mansion she gets two apprentices and her closed world starts to open up,action,horror,0.10228556,0.8540172,0.043697264
tt0918578,Woman in Autumn,while 1948 greece is in the grip of a civil war (the first battle of the cold war) a young dedicated schoolteacher arrives at the children's camp on the island of rhodes recruited by,romance,action,0.8613781,0.04358451,0.09503735
tt0291392,Novo,graham struggles to connect the pieces of his shattered short-term memory unable to recall the most basic facts of his life and his sexual past he quickly falls prey to the erotic appetites of the women he encounters,romance,horror,0.10368875,0.4603223,0.43598896
tt0195343,Thunder in Dixie,mickey arnold is a loving husband and a good friend to ticker welsh however when mickey finds out that ticker has seduced his wife their friendship collapses now the two are in a,action,romance,0.06640068,0.053636625,0.87996274
tt4695714,Ame Leve,jamie and kenza meet after an unexpected breakup and a loss of a family member they fall in love it seems to perfect to be true that's because it is!,action,romance,0.06565903,0.08837462,0.8459662
tt0100893,Vrijeme ratnika,two friends fabijan and dakar go fishing on a calm river close to zagreb in his youth fabijan was a partisan and dakar a member of the foreign legion suddenly while fishing they are,action,romance,0.41268194,0.03614811,0.55117
tt20428562,Karma Cult,4th installment in the 'gendai kaiki hyaku monogatari' series,horror,action,0.4341428,0.3806291,0.18522814
tt11112060,The Red Jasmine,in tondo manila a young girl named jasmine witnesses the killing of her parents and younger brother by a drug lord syndicate she unknowingly makes a deal with the devil to seek revenge,horror,action,0.8448014,0.14593917,0.009259411
tt0292323,Vazhiyorakkazhchakal,a man with a dark past helps a woman bring her husband back from a vegetative state,action,romance,0.14002186,0.24022548,0.61975265
tt24076146,The Persian Version,when a large iranian-american family gathers a family secret is uncovered that catapults the estranged mother and daughter into an exploration of the past and to discover they are more alike than they know,romance,action,0.45025504,0.24199998,0.30774492
tt2996684,Animal,when plans for a weekend vacation hit a dead end a group of close-knit friends find themselves stranded in unfamiliar territory pursued by a menacing blood thirsty predator,action,horror,0.037355144,0.95721227,0.005432592
tt4635152,Undue Influence,after winning a dangerous victory in her recent election to the united states senate our anna thorsson must navigate the slings and arrows of outrageous fortunes in washington,action,romance,0.15531206,0.06640534,0.7782826
tt2643838,The Corrupt,a savvy reporter destroys every scumbag she meets with a cel-phone live uploads and her connections and when a rotten politician attempts to victimize her he finds out just how clever she is,action,romance,0.090141505,0.08189556,0.8279629
tt1899142,Combustion,ari works with her boyfriend and another criminal where she seduces rich men and the 2 men rob them she seduces mikel her partners aren't happy until he joins them in illegal car racing and mikel's rich fiancee?,action,romance,0.28117466,0.027269019,0.69155633
tt0127551,Faithless,lars meets the smoldering karis at a nightclub instantly drawn to each other they embark on a night of frenzied sex what follows is a riveting story of obsession lust and revenge ultimately revealing that everyone has their own truth,romance,horror,0.21070011,0.54113334,0.24816653
tt1816561,Control Tower,the story of youth kakeru a 15 year old boy and mii (little my)  a female transfer student they are two lonely teens who cannot find their place in life but who gradually learn to relate to each other through the power of music,romance,horror,0.17429374,0.4813258,0.34438047
tt2852400,A Touch of Sin,four independent stories set in modern china about random acts of violence,action,romance,0.17707184,0.086046286,0.7368819
tt0025500,Midnight Alibi,a gambler hides out from some gangsters in an old lady's house later he's arrested for murder but the old woman provides him with an alibi by saying he was with her on the night of the murder,romance,action,0.671805,0.2718555,0.056339417
tt15078412,Keith Loves Ava,while making a documentary about the town he's from his life there and it's inhabitants keith meets ava who he quickly falls in love with as his life slowly falls apart around him he,horror,romance,0.02777832,0.030768808,0.9414528
tt26338953,Topno Maskal,maskal comes accross that the love of his life was brutally raped and murdered by the bigwigs of the village he started to plan his retaliation with a burning desire in his heart and succeeds in his plans,action,romance,0.21910402,0.04539588,0.7355001
tt4938112,Grace's Room,during her hometown's annual riverfest celebration billie is tasked with house-sitting for her aunt and uncle to pass the time she enlists the help of her hapless friends but things go,horror,romance,0.14259098,0.27949607,0.5779129
tt4865332,Angels Descend Together,a soon to be clergy man and his wife deal with the troubles of rising their triple children,romance,horror,0.28691754,0.41452736,0.29855505
tt3834956,Mission in Tel Aviv,amal is a spy for israel resident in parisdecides to quit but found herself asked for being double agent for egypt and sent to tel aviv to get a tape of weaponry and strategies against her country in case of warmissionsdanger and torture crossed her path but will she succeed?,action,romance,0.14031805,0.31317043,0.5465115
tt0942886,Banking on Love,when a bank is robbed the assistant bank manager steals the balance of the bank's cash when a working girl at the hot box ranch takes the stolen cash from the bank robber the banker and,romance,action,0.94816744,0.013720814,0.038111668
tt2724774,"Goodbye, Little Betty",in a post-apocalyptic winter landscape a young woman is collecting cords to try and figure out where she is and how she got there,horror,romance,0.07984616,0.13753597,0.78261787
tt0075279,Stunde Null,leipzig area in 1945 the american occupying forces withdraw to the elbe river leaving the territory to the russians,romance,action,0.510756,0.26060444,0.22863948
tt0357451,Azad Mohabbat,the story revolves around the life of the protagonist---a fearless and brave man fighting for his love against the whole corrupt system trying to separate the couple with their power leading to consequences,romance,action,0.8974062,0.05566521,0.0469285
tt7734034,Gary Come Home,make way for the story of a young french bulldog who runs away from home to the big city during his journey the young french bulldog named gary bumps into some new furry four-legged,action,romance,0.13328394,0.19358824,0.67312783
tt2606336,Robot Love,after resigning himself to a life of one night stands and meaningless sexual encounters cole meets the enigmatic olivia someone who seems to be following the same pattern over the course,romance,horror,0.15568852,0.4316173,0.41269416
tt2529182,Mariposa: Sa hawla ng gabi,a farm girl's attempt to take her sister back to the province unravels the horrors of the big city,action,horror,0.28174457,0.6710787,0.04717676
tt3895838,Last Pickup,while in the employ of mr worthington james mickey and whitey have made several successful and uneventful pickups but one last pickup will prove to be an adventure and the difference between life as free men and life behind bars,action,romance,0.39104885,0.017516185,0.5914349
tt11586540,Neverland,several friends trace their adolescence lived in 1997 in albania a period in which the country went through a dramatic social and economic crisis,action,romance,0.14044964,0.03187846,0.82767195
tt10907306,Creature from the Haunted Sea,a secret agent xk150 tries infiltrate a criminal gang led by renzo capetto,horror,action,0.96179736,0.01223422,0.025968488
tt1986089,King's Game,the students think of it as a silly joke when the mobile telephones ring with instructions for the classmates the texts keep coming and the demands escalate under punishment of erasure,horror,action,0.42827597,0.3781463,0.1935777
tt2180479,Nazareth Hill,a rebellious teenager lives with her religiously autocratic and increasingly irrational father in an apartment building on nazareth hill their relationship has been shaky for some years,horror,romance,0.06893995,0.14472613,0.7863339
tt0020438,Speakeasy,newspaper staffer alice woods persuades the editor to allow her to chase a story that of prizefight contender martin who is about to fight for the championship however he does not know that his manager is preparing to double-cross him,romance,action,0.59783006,0.096852146,0.30531782
tt26921141,Last Cowboy Alive,the last cowboy to survive the harsh pressures of farming only to move into the big city and start out a new life a new career - however ranching farming is all he ever knew in the end - he yearns for the trail and to ride once again,romance,action,0.48987514,0.052975476,0.4571494
tt0094188,The Trouble with Spies,george trent (james willis) a british spy has gone incommunicado in ibiza appleton porter (donald sutherland) is sent to find out what happened to trent porter settles into a small,action,romance,0.33051813,0.16703762,0.50244427
tt0302531,Endangered Species,a killing machine from another world comes to earth to kill humans,horror,action,0.5482885,0.4179014,0.033810142
tt5490720,Pandora,haunted by the past ray (philip broadbent) is a washed-up musician with nearly nothing left to live for only the broken-down relationship with his daughter joanna (lydia lakemoore) keeps,horror,romance,0.08310588,0.12312297,0.7937711
tt0113026,The Fantasticks,a mysterious fair that comes to a small community in the countryside could make real the illusions of two teenagers,romance,horror,0.16335993,0.6909328,0.14570725
tt14747194,Residence 3,it is the end of days as the zombies are fully adapted our heroes must find a scientist surviving in an 80's fun park and then journey to the place where it all began the laboratory,action,horror,0.17273277,0.78875685,0.038510416
tt0099681,"Good Girl, Bad Girl",a writer needs funds to make a film based on her screenplay she will stop at nothing to get the bucks including dancing at a nude bar stealing cash and hijacking snakes,romance,action,0.4899691,0.097279534,0.4127514
tt0860837,The Confessional,a disturbed sculptor assumes the identity of a small town priest and designs a game of divine madness for a unsuspecting town,action,horror,0.061316855,0.9023593,0.036323886
tt0040740,Road House,a night club owner becomes infatuated with a torch singer and frames his best friend/manager for embezzlement when the chanteuse falls in love with him,action,romance,0.024640817,0.011192711,0.96416646
